,nr,file,pid,mom,eta_bin,eta,phi,aero_thetac_hist_entries,aero_thetac_fit_mean,aero_thetac_fit_sigma,aero_thetac_res_hist_entries,aero_thetac_res_fit_mean,aero_thetac_res_fit_sigma,gas_thetac_hist_entries,gas_thetac_fit_mean,gas_thetac_fit_sigma,gas_thetac_res_hist_entries,gas_thetac_res_fit_mean,gas_thetac_res_fit_sigma,SPEaero_thetac_hist_entries,SPEaero_thetac_hist_mean,SPEaero_thetac_fit_mean,SPEaero_thetac_fit_sigma,SPEaero_thetac_res_hist_entries,SPEaero_thetac_res_hist_mean,SPEaero_thetac_res_fit_mean,SPEaero_thetac_res_fit_sigma,SPEgas_thetac_hist_entries,SPEgas_thetac_hist_mean,SPEgas_thetac_fit_mean,SPEgas_thetac_fit_sigma,SPEgas_thetac_res_hist_entries,SPEgas_thetac_res_hist_mean,SPEgas_thetac_res_fit_mean,SPEgas_thetac_res_fit_sigma
96,96,ana_211_5_10_7.root,211,5,10,2.5,7,190,222.40731244399865,0.5761051198582801,190,-1.488652756,0.5706230717420154,185,27.23236183240952,0.45207635272809965,190,-1.488652756,0.5706230717420154,2025,222.4350123,222.2350229158632,1.8376480530627068,2025,-1.473744856,-1.673529727,1.8535803327958373,1520,27.27828947368421,27.27852165818442,1.0841495527763882,2024,-1.47826087,-1.675146602,1.8428670442886967
94,94,ana_211_5_15_0.root,211,5,15,3,0,194,222.32010920410016,0.589402602,194,-1.58080658,0.5947187259575748,193,27.145482499140257,0.5977358416210812,194,-1.58080658,0.5947187256766963,1984,222.36915322580646,222.18832963795023,1.8930518351897812,1984,-1.532392473,-1.713161704,1.8828184437678914,1358,27.16067746686303,27.191267412398794,1.185992953736967,1984,-1.532392473,-1.713431157,1.8834459632955902
93,93,ana_211_5_15_1.root,211,5,15,3,1,192,222.5077336740664,0.693360801,192,-1.401247996,0.6689380926853129,192,27.183734290079734,0.5679692158001667,192,-1.401247996,0.6689380924987007,1825,222.46153424657535,222.3082520976521,1.8040158321974773,1825,-1.44113242,-1.58881917,1.8714597780561477,1347,27.197698589458057,27.243302478957066,1.1694743043322258,1825,-1.44113242,-1.589020922,1.8714597780561477
90,90,ana_211_5_15_2.root,211,5,15,3,2,190,222.37861703017919,0.5165458602192605,190,-1.520785918,0.5115858361536872,188,27.160064359361165,0.5782170718389605,190,-1.520785918,0.5115858361536872,2224,222.42904676258993,222.1662154,1.8192967819416621,2224,-1.474460432,-1.718501773,1.9145906871655527,1178,27.19100169779287,27.118526336731442,1.0819574814694066,2222,-1.482988299,-1.72122791,1.9014970944187868
258,258,ana_211_5_15_3.root,211,5,15,3,3,190,222.42900617484202,0.4906590534396075,190,-1.489296217,0.5201059632155016,188,27.193005325232637,0.5668053919333749,190,-1.489296217,0.5201059632155016,2149,222.4573755234993,222.27176218820316,1.908772742953963,2149,-1.447836203,-1.643501896,1.7942396483625447,1178,27.242275042444824,27.179305900709366,1.074916968450417,2148,-1.452017381,-1.643604052,1.794476399888406
257,257,ana_211_5_15_4.root,211,5,15,3,4,194,222.43084654702332,0.6665015166886452,194,-1.478598788,0.6679831702303847,188,27.124636748525926,0.5677378042560688,193,-1.478598758,0.6679832989004717,1890,222.45682539682542,222.28554052503213,1.8774626793550024,1890,-1.448042328,-1.621827118,1.8753429599652165,1342,27.13770491803279,27.132471002032972,1.1047810918361138,1889,-1.452938062,-1.623488797,1.863725589980283
256,256,ana_211_5_15_5.root,211,5,15,3,5,192,222.44955601859172,0.7543415008745991,192,-1.450257748,0.7332006254821691,193,27.20435446999346,0.5409844760775719,192,-1.450257747,0.7332006261018877,1876,222.43507462686568,222.22515373018118,1.872931992026645,1876,-1.463539446,-1.674826491,1.8724328618481814,1352,27.253402366863906,27.18647026274034,1.2475884378769833,1876,-1.463539446,-1.674988603,1.8731762322866945
251,251,ana_211_5_15_6.root,211,5,15,3,6,194,222.55045005085762,0.6084023697773273,194,-1.350292888,0.625422445,188,27.13926559096099,0.5657806603396298,194,-1.350292888,0.625422445,2165,222.4777367205543,222.33643544768142,1.8813398633052183,2165,-1.427775212,-1.571769904,1.8825782861847826,1220,27.148032786885246,27.167542423501278,1.1284048439347585,2165,-1.427775212,-1.571990035,1.8825782861847826
89,89,ana_211_5_15_7.root,211,5,15,3,7,197,222.50768920998988,0.6194090676888365,197,-1.386829024,0.5910175523880133,195,27.153815972747974,0.532857886,197,-1.386829024,0.5910175523880133,2127,222.48382698636578,222.31787727459823,1.893030749881195,2127,-1.415358094,-1.578539314,1.8921553941853795,1254,27.208293460925038,27.180297676327026,1.1232801057592532,2125,-1.416564706,-1.580236472,1.879461364935107
259,259,ana_211_5_20_0.root,211,5,20,3.5,0,192,222.51007287958362,0.6752901824901203,192,-1.411983374,0.6725215209754282,190,27.191004565757698,0.5701724065124563,192,-1.411983375,0.6725215206377215,1696,222.48985849056606,222.29484588011647,1.951472830041496,1696,-1.414308176,-1.609643576,1.9470680769204476,1161,27.291386735572782,27.271005147846196,1.24634346,1695,-1.419823009,-1.611710577,1.9343550943608725
